,tconst,primary_title,genres,studio,domestic_gross,foreign_gross,year,averagerating,numvotes
0,tt0315642,Wazir,"Action,Crime,Drama",Relbig.,1100000.0,,2016,7.1,15378
1,tt0337692,On the Road,"Adventure,Drama,Romance",IFC,744000.0,8000000,2012,6.1,37886
2,tt0359950,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",Fox,58200000.0,129900000,2013,7.3,275300
3,tt0365907,A Walk Among the Tombstones,"Action,Crime,Drama",Uni.,26300000.0,26900000,2014,6.5,105116
4,tt0369610,Jurassic World,"Action,Adventure,Sci-Fi",Uni.,652300000.0,"1,019.4",2015,7.0,539338
5,tt0372538,Spy,"Action,Crime,Drama",Fox,110800000.0,124800000,2015,6.6,78
6,tt0376136,The Rum Diary,"Comedy,Drama",FD,13100000.0,10800000,2011,6.2,94787
7,tt0376479,American Pastoral,"Crime,Drama",LGF,544000.0,,2016,6.1,12898
8,tt0383010,The Three Stooges,"Comedy,Family",Fox,44300000.0,10500000,2012,5.1,28570
9,tt0398286,Tangled,"Adventure,Animation,Comedy",BV,200800000.0,391000000,2010,7.8,366366
10,tt0401729,John Carter,"Action,Adventure,Sci-Fi",BV,73100000.0,211100000,2012,6.6,241792
11,tt0409379,In Secret,"Crime,Drama,Thriller",RAtt.,444000.0,,2014,6.2,7045
12,tt0409847,Cowboys & Aliens,"Action,Sci-Fi,Thriller",Uni.,100200000.0,74600000,2011,6.0,195889
13,tt0419692,Disconnect,"Drama,Mystery,Sci-Fi",LD,1400000.0,,2013,4.5,190
14,tt0420293,The Stanford Prison Experiment,"Biography,Drama,History",IFC,661000.0,,2015,6.9,32591
15,tt0427152,Dinner for Schmucks,Comedy,P/DW,73000000.0,13800000,2010,5.9,91546
16,tt0429493,The A-Team,"Action,Adventure,Thriller",Fox,77200000.0,100000000,2010,6.8,235256
17,tt0431021,The Possession,"Horror,Mystery,Thriller",LGF,49100000.0,36300000,2012,5.9,53649
18,tt0433035,Real Steel,"Action,Drama,Family",BV,85500000.0,213800000,2011,7.1,283534
